obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
1,hexagon,star,high,medium,high,10.18,34.89,3.35,86.99,1,triangle,square,low,low,medium,58.08,89.74,87.91,94.43,Да
0,hexagon,hexagon,medium,low,high,15.29,92.95,56.99,51.88,1,hexagon,square,high,low,high,27.17,46.34,0.51,10.22,Да
1,square,circle,low,medium,low,24.6,83.06,76.25,59.13,1,hexagon,star,high,medium,medium,39.83,62.29,81.99,85.42,Да
1,square,star,medium,low,medium,16.07,96.5,87.68,39.9,0,star,star,high,low,high,9.17,74.79,22.86,52.7,Да
1,hexagon,star,low,low,medium,18.66,12.43,34.21,5.48,0,star,square,medium,high,low,33.64,3.49,90.87,82.59,Да
0,square,triangle,high,low,medium,28.51,73.09,82.13,33.52,1,square,star,medium,low,medium,52.25,89.49,0.11,29.84,Да
1,hexagon,star,medium,medium,high,17.34,93.83,11.06,80.29,0,square,triangle,high,high,high,73.23,86.01,55.62,83.99,Да
0,hexagon,star,high,medium,high,89.68,18.12,84.65,0.46,1,circle,square,high,medium,high,0.33,45.74,75.66,77.28,Да
0,star,star,medium,medium,high,8.02,6.65,12.75,33.35,0,star,star,medium,high,low,46.73,39.12,25.87,23.01,Да
0,circle,star,high,low,low,52.45,74.11,39.73,39.82,0,triangle,square,medium,high,medium,29.7,27.3,19.31,13.13,Да
0,hexagon,square,low,medium,high,41.04,57.45,79.73,53.74,0,star,hexagon,low,low,high,85.28,47.67,8.41,86.81,Да
1,triangle,square,low,medium,low,98.24,84.18,14.99,91.99,0,triangle,circle,low,low,low,71.56,4.44,32.64,96.32,Нет
1,circle,triangle,low,low,medium,11.2,13.98,22.93,34.63,1,hexagon,square,medium,high,high,58.91,85.22,55.98,3.13,Да
0,circle,circle,medium,high,high,39.79,79.53,72.23,34.7,1,star,circle,high,low,medium,27.73,3.54,11.58,73.13,Да
0,circle,star,low,low,low,96.95,20.16,72.0,73.75,1,hexagon,star,high,medium,high,91.03,32.91,37.67,90.95,Да
1,star,circle,medium,medium,low,86.55,16.37,64.11,45.22,0,square,circle,high,medium,high,4.51,93.16,0.91,85.74,Да
0,hexagon,circle,low,low,high,81.71,16.43,69.39,22.46,1,square,square,high,low,high,10.95,73.52,81.87,96.45,Да
1,star,triangle,low,high,medium,25.79,81.46,54.27,45.24,1,circle,hexagon,low,medium,high,39.16,28.14,12.84,76.01,Да
0,hexagon,star,medium,low,medium,17.09,66.52,25.18,14.09,1,star,star,medium,low,low,12.44,25.26,28.33,44.23,Да
0,star,star,medium,medium,medium,66.86,52.31,34.57,17.64,0,hexagon,square,high,high,low,95.64,0.51,1.84,31.2,Да
1,star,hexagon,low,high,low,92.94,35.88,18.16,49.84,0,triangle,star,low,high,medium,79.8,69.57,43.22,32.07,Да
0,triangle,circle,medium,medium,low,55.68,87.72,90.85,41.89,0,square,triangle,high,medium,low,25.9,4.88,84.01,72.44,Нет
1,star,circle,low,high,low,57.16,39.24,58.34,91.48,1,square,circle,medium,low,low,58.86,53.26,39.22,74.58,Да
0,square,square,medium,high,low,28.0,81.66,40.09,36.24,1,triangle,triangle,low,low,medium,98.23,96.21,17.95,20.04,Да
0,triangle,hexagon,high,low,medium,76.95,43.91,46.2,58.06,1,hexagon,square,medium,medium,low,88.42,10.95,75.37,86.81,Да
0,star,square,high,low,high,18.7,37.69,94.73,63.23,0,hexagon,hexagon,medium,high,low,60.08,89.45,78.88,71.49,Нет
1,circle,square,high,medium,low,32.37,46.27,15.34,1.31,0,star,star,low,medium,medium,90.37,99.15,17.38,56.28,Да
0,square,square,high,low,low,42.54,30.14,58.62,66.35,1,star,circle,low,high,medium,98.92,6.15,77.09,47.15,Да
0,square,triangle,high,low,medium,50.76,74.76,50.59,17.8,0,circle,star,low,low,medium,74.34,88.29,94.73,54.32,Да
0,square,triangle,low,high,high,24.24,50.27,61.15,96.11,0,square,square,low,high,high,6.5,51.61,16.64,15.92,Да
0,triangle,square,high,low,high,11.48,23.22,1.81,14.87,0,star,star,low,medium,high,40.16,90.65,77.1,20.37,Нет
1,star,hexagon,high,high,medium,61.06,89.96,87.21,41.46,0,hexagon,circle,low,low,medium,83.78,57.13,70.86,9.12,Да
1,star,circle,high,high,medium,28.86,38.39,93.21,8.53,1,triangle,square,low,medium,medium,23.06,66.21,47.36,15.37,Да
0,circle,hexagon,high,high,high,58.12,54.36,56.51,99.69,0,hexagon,star,high,medium,medium,83.06,54.38,5.79,45.37,Да
1,circle,star,medium,medium,low,15.44,90.65,69.67,50.22,0,square,hexagon,medium,high,high,12.03,86.45,7.47,53.04,Да
0,square,triangle,low,medium,high,48.11,62.42,92.25,59.54,0,hexagon,square,low,medium,high,4.69,73.39,85.24,1.79,Да
0,circle,circle,high,medium,medium,53.26,11.69,70.72,6.71,0,circle,square,high,high,low,38.41,52.13,99.01,79.68,Да
0,triangle,circle,high,high,low,5.18,93.98,15.25,75.0,1,square,hexagon,high,low,low,3.67,86.82,67.61,29.42,Да
1,star,star,high,medium,low,33.66,62.77,57.63,20.99,1,triangle,triangle,high,high,medium,95.73,24.53,44.6,91.18,Да
1,square,star,low,medium,medium,13.44,33.49,60.67,89.81,0,circle,circle,medium,low,high,82.62,15.73,64.76,96.75,Да
1,circle,square,medium,low,medium,6.34,13.93,42.41,20.51,0,square,triangle,low,high,high,80.08,16.04,59.44,18.55,Да
1,triangle,triangle,low,medium,medium,99.0,79.4,73.64,19.07,0,triangle,star,high,medium,high,62.98,33.4,38.36,46.21,Да
1,triangle,triangle,medium,medium,high,32.24,62.01,93.44,3.65,0,circle,hexagon,medium,high,medium,21.63,23.87,6.56,0.12,Да
1,circle,hexagon,high,high,high,80.99,53.35,92.56,47.21,0,circle,triangle,medium,high,low,51.83,93.01,82.15,59.83,Да
1,star,square,high,high,low,25.46,89.39,45.08,56.48,0,square,square,medium,low,medium,59.73,10.58,37.18,60.73,Да
1,circle,square,low,high,medium,68.15,78.86,11.32,6.57,1,star,star,high,medium,low,52.5,69.9,81.88,24.75,Да
1,square,square,low,high,low,76.02,15.17,98.48,77.55,0,circle,star,low,high,low,26.02,18.92,25.25,55.84,Да
0,circle,square,medium,high,low,59.56,31.17,83.89,45.33,1,circle,triangle,high,medium,medium,51.52,88.16,0.1,22.55,Да
1,triangle,triangle,medium,high,low,47.16,24.85,12.47,52.44,1,triangle,triangle,high,high,low,49.12,96.13,15.89,16.08,Нет
1,circle,triangle,low,medium,low,41.18,74.39,92.08,44.08,0,hexagon,hexagon,low,high,low,99.63,46.55,46.85,65.15,Нет
