obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_nom_2,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj1_qnt_4,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_nom_2,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,obj2_qnt_4,Collision
0,hexagon,star,circle,medium,low,medium,3.89,68.77,75.07,69.9,7.08,0,square,star,star,low,high,low,63.41,90.85,28.31,79.95,24.25,Нет
1,hexagon,star,triangle,high,low,medium,61.23,67.24,56.02,48.62,21.37,1,star,triangle,square,high,high,low,88.67,23.52,17.88,28.7,16.79,Да
1,hexagon,triangle,hexagon,high,high,high,8.97,95.06,95.46,19.3,62.79,1,square,hexagon,hexagon,medium,high,low,16.58,67.75,71.04,38.61,37.53,Да
1,square,triangle,hexagon,low,low,high,71.03,37.16,22.79,59.26,2.83,0,star,hexagon,circle,low,medium,medium,12.03,52.39,96.92,9.35,4.84,Нет
0,circle,circle,triangle,low,high,high,39.01,30.54,87.21,54.46,59.22,1,triangle,square,star,low,high,low,49.85,10.46,27.3,34.26,16.21,Да
0,triangle,hexagon,star,low,low,low,83.77,17.24,28.29,8.88,95.69,0,triangle,triangle,triangle,high,low,high,98.18,56.54,32.86,97.39,38.03,Да
1,triangle,hexagon,hexagon,medium,medium,low,94.25,26.53,24.55,64.04,79.51,0,square,hexagon,star,high,low,low,5.9,70.88,35.11,94.21,23.87,Да
0,circle,hexagon,square,medium,high,high,41.71,50.19,49.84,76.72,34.56,0,square,triangle,circle,low,high,medium,98.66,59.83,85.7,75.03,73.68,Да
0,hexagon,triangle,circle,medium,low,low,46.06,83.77,7.12,28.66,13.82,1,star,square,star,medium,medium,medium,96.77,10.44,57.8,90.73,90.5,Да
0,triangle,circle,hexagon,low,high,low,59.01,28.43,38.43,68.75,46.51,1,circle,circle,triangle,high,high,medium,29.26,85.45,97.4,21.12,90.91,Да
0,hexagon,square,star,low,low,medium,19.71,15.77,35.57,19.97,39.3,1,square,star,hexagon,low,high,low,89.1,4.1,62.72,62.18,60.43,Нет
0,star,circle,hexagon,high,high,medium,92.73,27.21,16.01,75.67,97.17,0,circle,square,hexagon,medium,low,medium,0.78,23.6,70.59,50.0,70.35,Нет
1,star,triangle,hexagon,high,medium,medium,43.3,10.09,86.08,91.18,98.99,0,circle,square,triangle,high,medium,medium,45.41,61.57,8.92,42.27,49.4,Да
1,triangle,circle,circle,low,medium,high,16.68,92.67,38.59,44.19,41.06,0,circle,square,square,medium,medium,medium,40.21,21.8,95.17,32.48,14.67,Да
0,circle,triangle,square,medium,high,medium,76.27,87.26,98.19,24.46,14.88,1,triangle,star,square,low,low,low,90.27,10.18,62.81,86.63,63.5,Да
1,circle,star,square,low,high,medium,21.92,30.85,89.97,39.92,91.06,1,triangle,hexagon,hexagon,medium,low,medium,47.23,51.19,52.02,48.45,35.0,Да
0,circle,star,star,medium,low,low,14.35,24.7,19.48,25.01,79.35,1,circle,triangle,circle,low,low,medium,41.79,72.25,38.74,72.4,0.58,Да
1,hexagon,square,triangle,low,low,medium,56.29,90.54,50.51,0.12,51.13,1,circle,circle,star,high,medium,high,63.96,41.08,7.71,70.6,57.5,Да
0,star,star,triangle,low,high,low,67.15,0.18,60.18,65.05,36.54,0,triangle,circle,triangle,low,low,high,37.58,69.85,13.33,13.61,19.84,Нет
0,hexagon,square,triangle,high,medium,medium,56.96,60.06,81.9,4.25,44.82,1,star,star,circle,low,low,high,53.66,86.07,1.17,4.89,88.65,Да
0,square,hexagon,star,medium,medium,high,65.65,91.6,88.56,21.04,90.19,1,hexagon,circle,star,high,low,medium,95.56,95.88,99.87,84.0,93.39,Да
