obj1_bin_0,obj1_nom_0,obj1_ord_0,obj1_ord_1,obj1_qnt_0,obj1_qnt_1,obj2_bin_0,obj2_nom_0,obj2_ord_0,obj2_ord_1,obj2_qnt_0,obj2_qnt_1,Collision
0,triangle,low,high,41.74,34.11,1,circle,low,medium,19.58,67.25,Да
1,hexagon,low,high,22.21,11.35,0,square,high,low,6.94,75.24,Да
0,hexagon,low,medium,11.99,92.47,1,square,medium,low,10.08,79.16,Да
0,circle,high,medium,33.76,87.73,0,triangle,low,medium,1.82,78.96,Да
0,triangle,low,low,94.29,25.79,1,square,medium,low,9.44,9.12,Да
1,star,low,high,32.32,66.0,0,square,high,high,68.3,49.44,Да
0,triangle,low,high,51.88,81.72,1,triangle,high,low,7.12,5.76,Нет
0,star,high,high,70.3,55.52,0,square,high,medium,31.9,54.95,Да
0,circle,low,low,36.36,52.97,0,square,low,medium,84.49,44.15,Да
1,square,low,low,97.18,24.19,1,square,medium,medium,2.33,88.77,Нет
0,hexagon,high,medium,96.24,9.31,0,circle,medium,low,81.45,35.09,Да
0,circle,high,low,25.18,89.72,1,circle,medium,medium,28.19,11.71,Нет
0,hexagon,high,high,49.72,90.04,0,circle,high,medium,11.82,14.3,Нет
0,square,low,high,30.09,63.31,1,triangle,low,low,69.67,76.15,Да
1,square,high,low,28.48,33.9,0,star,high,high,62.89,61.82,Да
0,circle,high,high,3.69,34.92,1,square,high,low,87.75,10.11,Да
1,square,low,high,60.96,72.6,0,square,medium,medium,73.51,8.41,Нет
1,star,high,low,50.27,89.71,1,triangle,high,medium,80.35,70.1,Да
1,square,low,low,5.15,88.71,0,square,medium,low,28.2,7.28,Нет
0,hexagon,medium,high,27.86,77.99,1,circle,low,high,17.74,82.19,Да
1,hexagon,high,high,90.83,64.2,1,star,medium,medium,75.06,70.62,Да
0,hexagon,medium,high,23.96,8.41,1,hexagon,low,medium,80.68,8.13,Да
1,hexagon,low,medium,14.49,16.16,0,square,medium,medium,99.05,8.48,Да
1,star,high,medium,48.95,89.86,1,circle,high,low,41.26,98.66,Да
1,triangle,low,medium,98.57,60.64,0,hexagon,high,medium,37.2,37.43,Да
1,circle,medium,low,24.21,0.92,1,star,low,high,77.64,37.06,Да
1,hexagon,low,medium,67.21,10.15,0,hexagon,low,medium,34.08,81.28,Нет
1,square,high,low,76.16,66.35,1,circle,low,medium,93.08,94.72,Да
1,hexagon,high,low,23.76,0.51,0,hexagon,medium,high,85.84,98.6,Нет
1,square,medium,medium,72.82,16.08,0,triangle,medium,medium,42.9,75.34,Да
0,square,low,medium,36.78,54.87,1,hexagon,low,low,75.09,37.63,Да
0,hexagon,high,medium,63.23,69.19,0,square,high,low,75.45,8.35,Нет
1,star,medium,high,63.35,65.2,0,square,medium,low,10.31,77.71,Да
1,square,high,medium,53.58,22.43,1,triangle,medium,high,90.26,55.84,Да
1,square,high,high,9.03,71.22,0,circle,medium,medium,50.53,42.42,Да
0,hexagon,low,low,83.53,23.72,0,square,low,low,82.65,90.64,Нет
1,square,high,high,32.08,32.54,0,star,low,high,32.0,11.12,Да
0,square,low,medium,18.65,74.65,1,square,low,medium,89.55,49.26,Нет
0,hexagon,high,low,4.08,64.96,0,square,low,high,38.92,1.14,Нет
0,hexagon,medium,low,59.09,84.92,1,circle,low,low,1.08,46.87,Да
0,circle,high,low,67.76,65.76,0,hexagon,high,low,90.54,5.63,Нет
0,star,low,high,1.66,56.83,0,square,high,low,9.13,11.88,Да
1,star,low,medium,51.21,9.37,0,triangle,low,high,31.93,11.75,Да
1,square,medium,low,22.65,36.77,1,hexagon,medium,high,95.01,64.92,Да
1,star,high,low,64.52,26.52,0,star,low,low,95.06,74.6,Да
1,square,high,low,17.44,24.4,0,circle,high,high,57.34,58.34,Да
1,circle,medium,high,69.09,97.3,1,star,high,low,63.18,96.22,Да
0,hexagon,high,high,38.67,39.31,0,hexagon,medium,low,44.84,37.49,Да
1,hexagon,high,medium,93.67,89.2,1,hexagon,high,medium,29.32,28.57,Нет
1,hexagon,low,high,13.75,63.11,1,hexagon,low,high,32.87,86.86,Да
