obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_nom_2,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj1_qnt_4,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_nom_2,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,obj2_qnt_4,Collision
0,triangle,hexagon,hexagon,medium,medium,low,91.38,38.92,55.77,50.65,96.23,1,square,hexagon,circle,low,medium,low,70.48,5.47,79.86,39.8,29.09,Да
1,hexagon,triangle,hexagon,high,medium,high,96.78,48.78,27.74,87.09,23.49,1,square,square,triangle,low,low,low,85.08,77.6,45.85,22.99,71.55,Да
1,triangle,star,hexagon,low,high,low,84.72,98.99,47.59,21.35,10.03,1,circle,circle,star,low,low,high,95.44,61.37,19.98,33.79,80.59,Да
1,star,square,hexagon,high,high,medium,30.98,21.39,47.08,42.64,14.83,0,star,triangle,circle,medium,high,high,21.1,6.95,81.1,99.82,25.99,Да
1,star,star,triangle,high,low,low,19.62,41.79,38.84,93.95,70.2,0,star,square,triangle,high,medium,high,50.39,50.86,15.72,82.54,30.06,Да
1,star,circle,triangle,low,low,low,54.81,29.18,82.07,42.86,72.58,1,hexagon,square,star,medium,high,high,68.06,8.25,21.05,88.39,66.12,Да
1,hexagon,star,square,high,medium,low,45.3,76.51,45.12,35.84,67.42,1,hexagon,circle,square,high,low,low,24.75,73.59,36.6,93.71,69.56,Да
0,square,star,hexagon,low,medium,medium,87.78,76.4,60.36,44.05,33.61,0,star,star,circle,medium,high,high,60.05,54.65,88.03,34.09,70.41,Да
1,hexagon,triangle,star,medium,low,high,10.0,29.24,89.55,51.95,16.98,1,star,triangle,triangle,low,low,medium,25.76,95.36,13.18,29.71,68.27,Да
0,star,circle,circle,low,medium,high,25.77,8.14,86.62,63.2,58.08,1,circle,square,square,high,medium,low,33.35,18.31,12.22,23.41,39.28,Да
0,hexagon,star,square,medium,low,high,75.18,1.14,89.04,80.07,48.37,0,circle,triangle,hexagon,low,medium,low,44.15,60.6,49.4,83.01,39.49,Нет
1,star,square,circle,high,high,low,9.5,42.75,27.0,45.21,72.88,0,star,star,square,high,low,low,52.92,21.16,27.64,67.96,25.48,Да
0,circle,circle,circle,low,medium,low,32.08,41.03,3.5,81.75,44.14,0,triangle,square,triangle,high,low,medium,44.94,61.41,56.87,23.62,15.68,Да
0,circle,square,hexagon,low,medium,medium,38.72,98.84,26.11,53.37,33.86,0,triangle,circle,star,low,low,low,49.32,72.26,45.16,37.7,69.26,Да
0,triangle,hexagon,star,low,medium,high,62.26,46.98,27.87,33.85,29.35,1,circle,triangle,hexagon,low,medium,medium,29.86,72.23,43.5,50.67,9.32,Да
1,square,star,circle,low,high,low,15.81,25.64,90.94,65.8,21.15,0,square,circle,hexagon,low,low,high,15.9,81.51,11.2,52.81,93.78,Да
0,circle,circle,circle,medium,high,low,86.06,89.12,64.92,71.77,26.57,1,star,star,hexagon,medium,medium,low,4.73,85.36,14.1,88.87,82.67,Да
0,star,square,square,medium,medium,low,44.75,49.11,8.17,55.8,9.48,1,hexagon,star,circle,high,high,medium,19.6,7.73,82.11,38.06,85.75,Да
0,hexagon,star,star,high,low,medium,91.7,59.92,13.54,5.66,34.69,1,triangle,triangle,triangle,high,medium,low,58.19,34.33,88.59,90.85,90.67,Да
0,hexagon,triangle,star,high,high,high,46.79,9.57,15.57,16.99,3.66,1,square,star,hexagon,high,high,high,78.61,68.71,23.47,44.14,40.86,Да
1,triangle,square,circle,high,medium,medium,27.5,38.29,63.04,28.53,18.64,0,triangle,hexagon,square,low,medium,low,16.92,49.86,11.35,74.64,84.67,Да
1,hexagon,square,star,high,medium,high,14.18,94.42,73.54,28.26,74.68,1,square,triangle,star,high,medium,high,10.86,19.07,5.34,93.03,15.81,Да
0,circle,hexagon,square,low,high,high,0.37,58.95,85.96,67.34,32.55,1,star,hexagon,triangle,high,low,low,74.93,55.27,60.83,90.76,2.16,Да
1,hexagon,triangle,square,medium,low,low,53.22,34.45,94.06,1.83,66.82,1,star,star,square,low,medium,medium,30.52,40.74,71.54,5.7,78.49,Да
1,circle,hexagon,square,medium,medium,low,10.72,62.57,20.17,75.57,71.69,0,star,triangle,circle,low,low,high,95.15,39.0,37.28,20.57,7.48,Да
0,circle,triangle,hexagon,medium,low,low,39.17,91.04,30.98,26.53,58.12,0,circle,hexagon,hexagon,high,low,low,71.43,80.98,67.97,47.69,98.85,Да
