obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
1,star,circle,medium,medium,low,53.82,18.61,79.59,45.64,0,hexagon,square,low,low,medium,92.13,38.45,34.21,67.49,Да
0,hexagon,circle,low,low,high,62.98,3.1,43.6,73.65,0,star,hexagon,high,high,low,26.09,10.58,67.63,49.84,Да
0,triangle,star,high,high,medium,59.67,86.47,38.65,15.58,0,triangle,triangle,low,low,low,83.03,90.4,74.15,82.23,Да
1,hexagon,square,medium,medium,high,66.58,39.63,19.19,26.95,1,star,square,high,low,high,26.79,40.82,58.47,18.33,Да
0,triangle,hexagon,medium,high,low,19.96,26.39,96.39,9.99,0,triangle,star,low,low,low,34.33,98.04,27.61,33.44,Нет
0,square,star,low,low,medium,26.87,56.17,95.94,86.51,0,hexagon,triangle,medium,high,low,19.88,34.75,50.86,68.64,Да
0,star,star,low,low,low,44.0,42.09,74.71,29.63,1,star,circle,low,high,low,50.71,83.64,25.19,24.67,Да
1,hexagon,circle,high,high,medium,44.61,65.17,29.63,69.45,1,circle,square,medium,medium,low,84.33,25.64,90.29,43.98,Да
0,square,square,medium,medium,high,77.44,48.38,24.52,82.02,0,triangle,circle,high,medium,low,52.81,7.62,76.64,96.37,Да
0,square,star,low,medium,low,36.74,69.72,98.86,90.14,0,triangle,square,medium,medium,low,12.34,3.17,49.3,62.59,Нет
1,triangle,hexagon,high,medium,medium,16.25,85.34,6.65,10.63,0,circle,star,low,medium,high,25.18,60.62,96.55,94.91,Да
1,star,hexagon,low,high,medium,25.15,19.56,84.36,89.3,1,star,square,high,low,high,56.29,31.16,54.68,72.24,Да
1,triangle,triangle,low,low,high,21.47,32.94,35.55,19.73,0,hexagon,hexagon,low,high,low,58.32,44.35,32.85,72.47,Да
0,triangle,hexagon,high,high,medium,73.17,43.68,41.89,73.69,1,square,circle,medium,high,high,57.69,81.86,9.55,59.19,Да
0,square,star,high,low,medium,47.03,96.21,83.2,72.88,0,star,circle,medium,low,medium,7.7,24.81,54.37,14.22,Нет
0,triangle,star,high,medium,low,70.86,36.53,9.06,0.85,1,star,square,low,medium,high,75.37,30.87,86.04,51.97,Да
0,circle,hexagon,high,medium,high,41.62,38.11,35.42,22.06,1,triangle,hexagon,high,high,medium,90.94,84.53,86.67,25.27,Да
0,star,circle,high,low,high,88.97,65.35,95.2,49.19,0,triangle,hexagon,low,low,low,51.05,49.28,60.46,99.87,Да
0,triangle,square,high,medium,low,98.35,41.92,69.91,42.0,0,hexagon,square,medium,low,medium,71.88,82.77,39.34,26.7,Да
1,triangle,star,medium,high,low,66.98,95.12,75.49,91.86,1,hexagon,triangle,high,medium,low,91.4,37.45,65.03,23.07,Да
